Uniqueid,Region,Location,Zipcode,Latitude,Longitude
5b7e938e-46e3-4948-94cc-2cf726fd1b25,OR,Portland3,97201,45.512101,-122.67705
ebbdcf22-8300-4d75-abe2-8b2ca046167e,OR,Portland3,97201,45.512101,-122.67705
c9f4c30a-a871-4945-9a64-bfae7854fba5,OR,Portland2,97206,0,0
69dba021-305e-4efe-b4a9-ad22c843ec7b,OR,Portland3,97201,45.505603,-122.688215
6cf1a615-0e11-43ee-b204-9ef9120c64d2,OR,Portland3,97201,45.512101,-122.67705
ac6af978-5c39-4cb2-9df3-f834b064fd2d,OR,Portland1,97204,45.414852,-122.851572
cbf8d5f5-6ef4-42bb-9b0d-2faaf7e856e0,OR,Portland1,97209,45.530711,-122.679459
3f534c5a-3508-4803-83d3-b74cb05b68bb,OR,Portland1,97206,45.489624,-122.52538
80b090c2-335e-4b97-9018-75f13415bc6a,OR,Portland3,97201,45.512101,-122.67705
e422befe-9fbd-4e72-96ac-6501cb2930c8,OR,Portland3,97201,45.512101,-122.67705
9815f41d-cab0-4669-952d-239530403e08,OR,Portland2,97209,0,0
b3115ddd-abd3-4135-af09-b7b83e8c77e1,OR,Portland2,97208,0,0
08dc8b05-d6ad-4349-9a53-758ddb39acd9,OR,Portland2,97209,0,0
05afbfb7-1da6-4c41-9395-4666fd8e34a8,OR,Portland2,97203,0,0
5769658c-45b8-4a9d-ad6a-294c2f6b0560,OR,Portland2,97204,0,0
d792dcce-94bd-44ac-b450-ee012abe959c,OR,Portland1,97202,45.551229,-122.633986
d4737da0-67c4-4bb0-9c66-e6ff30e9fb85,OR,Portland2,97206,0,0
0ca57fb4-ff06-4ceb-b2cf-62214f881f06,OR,Portland2,97204,0,0
1e9c4ec8-1b79-40ea-894f-e91dff7bd870,OR,Portland1,97202,45.548277,-122.664644
159c84b0-83c3-428a-b740-3654e919c652,OR,Portland1,97209,45.470856,-122.71313
c4bba61c-e4be-4498-864c-84a30fed59b8,OR,Portland3,97201,45.512101,-122.67705
7cd5cff3-5d40-4d58-a0ab-2e7615ddf998,OR,Portland2,97204,0,0
0ed1c012-6ddb-467e-8c70-f43bbbda68ba,OR,Portland1,97203,45.548903,-122.583083
ef5cb153-d334-452e-9bee-624503e50ea4,OR,Portland1,97203,45.511768,-122.48445
ab91eb5e-598a-46fc-ba7d-11b2b545180c,OR,Portland2,97202,0,0
9c4770bb-f770-4995-a776-d14e3cd4ebf2,OR,Portland2,97204,0,0
c6906535-a7d4-4f82-a6d3-c725c93a1187,OR,Portland1,97207,45.397416,-122.606645
560960dc-6b50-4798-83c2-dd92c86a4db2,OR,Portland3,97201,45.512101,-122.67705
2bfc8570-c4b9-485e-9c73-a39891cbceb8,OR,Portland3,97201,45.512101,-122.67705
679e20b6-aea7-4e18-882d-41f28da2ea7e,OR,Portland2,97209,0,0
d21f4de5-5771-4238-ab29-7b6d7024c02e,OR,Portland2,97203,0,0
507e8fc8-7327-4e9c-8db2-e38c870348cf,OR,Portland2,97202,0,0
dbbd2671-8a9b-4c87-b0e7-3766f4c68193,OR,Portland3,97201,45.512101,-122.67705
61283ef0-29a5-4a8f-b804-f9f53251ed01,OR,Portland3,97201,45.512101,-122.67705
3951460d-c506-4682-b974-adade166bda6,OR,Portland3,97201,45.505603,-122.688215
c1158969-1cf6-44ef-b308-1d9024552ad4,OR,Portland1,97207,45.41614,-122.592907
29af3045-08f0-41f5-801c-cb824c29ff3f,OR,Portland3,97201,45.512101,-122.67705
ad37169b-f132-4d79-9c8e-6548885e1783,OR,Portland1,97203,45.516786,-122.530873
7aa90dd8-b691-47be-bf89-ec9cd8338366,OR,Portland3,97201,45.505603,-122.688215
21b5a777-e9dd-4bf8-99e8-240e80338e21,OR,Portland2,97206,0,0
77769bda-b764-4fd1-b7c5-71ea2304c8b6,OR,Portland3,97201,45.512101,-122.67705
53819ef6-b08e-4a24-9161-8c5a849fb5a7,OR,Portland3,97201,45.505603,-122.688215
bf889e3e-6cd6-4863-969e-44b1ff88b9ec,OR,Portland1,97210,45.543942,-122.743747
5a034182-5a53-4ece-af1b-c9a12ac0ff78,OR,Portland3,97201,45.512101,-122.67705
896d31a4-7df3-4385-963c-4d8d2eca6275,OR,Portland3,97201,45.512101,-122.67705
fb7d360e-ff9a-41b7-b547-5e9a7ded8fed,OR,Portland3,97201,45.512101,-122.67705
322ff0a1-44b3-40f5-89b8-9f53778afbf6,OR,Portland2,97205,0,0
27b7d6b6-fec0-4af6-9bcb-4566cc9b3167,OR,Portland3,97201,45.512101,-122.67705
6f56049b-c60a-4c6d-bec5-636ad0d23695,OR,Portland1,97205,45.518597,-122.619524
5de3f7fa-ef04-40f4-93ab-c0f59a20eb1b,OR,Portland2,97203,0,0
d25ab3b9-1e39-4d8f-9906-e0a9a6b91ff1,OR,Portland2,97205,0,0
293d8555-07c2-45d6-99e9-d4538a949485,OR,Portland2,97210,0,0
18a86283-cb6e-4995-9045-34edb12d31af,OR,Portland3,97201,45.512101,-122.67705
405fcde5-807c-4e9e-8cca-4c50eeb4645f,OR,Portland3,97201,45.512101,-122.67705
5241b3db-61e7-48f9-ae1f-83af156f8905,OR,Portland2,97203,0,0
d369fbcd-0239-4531-9b15-74e296e3323a,OR,Portland2,97209,0,0
f681560d-0fc3-44fe-94f6-c1a7f9e32a39,OR,Portland2,97202,0,0
6063874e-f8ba-411e-9ed7-2faf510b768b,OR,Portland3,97201,45.505603,-122.688215
25263a80-c90c-4952-846f-3950f79d404e,OR,Portland2,97210,0,0
93cad39a-cab1-499a-9f3f-4aaf73e7b478,OR,Portland2,97203,0,0
8ba3679d-252f-4146-93b3-f4f7903bddf6,OR,Portland3,97201,45.512101,-122.67705
35b9e656-d582-4bb8-8229-4d9bc6db010c,OR,Portland2,97203,0,0
12b977d8-6282-4fc0-a000-9e46c00023d5,OR,Portland3,97201,45.512101,-122.67705
243c20f4-bdd6-4338-9343-b8e157ac7773,OR,Portland3,97201,45.512101,-122.67705
e10cc950-f6e6-4477-84e7-5b4c35c64e01,OR,Portland2,97205,0,0
caf2b951-f4ea-4795-b9e3-a3488b408675,OR,Portland3,97201,45.505603,-122.688215
d78e6211-69a1-410d-a5f4-35cc9a1957ba,OR,Portland2,97206,0,0
b34d8ca6-fac0-4ba1-805f-6642ae281efb,OR,Portland3,97201,45.505603,-122.688215
5fa1adfd-2e2d-472b-9830-89fa58a0919b,OR,Portland3,97201,45.505603,-122.688215
d241e873-6b2f-4527-9a7f-4c50f58e196a,OR,Portland2,97202,0,0
4e6b4dbf-814d-4b6f-9985-106926893f7d,OR,Portland3,97201,45.505603,-122.688215
7ded716f-18e0-49ab-a80a-d75f5d9a00c5,OR,Portland2,97206,0,0
63b88cfc-e572-44ec-8e8b-3cf5ad7b496c,OR,Portland3,97201,45.512101,-122.67705
09d8f0e1-2062-4470-a85a-422e70e7f42c,OR,Portland3,97201,45.512101,-122.67705
85a118b5-78ee-4444-a98a-fa0a5ff46930,OR,Portland2,97201,0,0
969f7e88-5ba1-46a1-bb11-b163774bb658,OR,Portland3,97201,45.512101,-122.67705
439ef875-fae4-4aab-9068-d43051eb86ec,OR,Portland3,97201,45.512101,-122.67705
f7ebb800-83e7-4e9d-97a3-f93c388186f7,OR,Portland2,97209,0,0
53168f63-1e53-4338-a316-1cef23e02c30,OR,Portland2,97206,0,0
336ca67e-dc69-4173-b2b5-ea3c3af40b2b,OR,Portland2,97203,0,0
d79ba042-c31b-4111-8366-3423b87327d9,OR,Portland3,97201,45.512101,-122.67705
37d2fea5-0c7a-462c-9a12-105236e01e81,OR,Portland3,97201,45.512101,-122.67705
f6a626ae-6407-4e6f-9b22-dae2182ca50f,OR,Portland3,97201,45.512101,-122.67705
761fe02b-6e68-42cc-8c1e-d9e7c8826cb7,OR,Portland2,97202,0,0
90c35d60-2036-4957-a0ce-c4e054cef540,OR,Portland2,97201,0,0
c5c578fe-a9a8-4ae6-ae30-d0c2444b9b82,OR,Portland3,97201,45.512101,-122.67705
370f8f00-1875-4757-84e9-e4e5121d03f9,OR,Portland2,97209,0,0
c76ffe3b-9564-482a-b395-ac0db0c97d46,OR,Portland3,97201,45.512101,-122.67705
7970c720-af46-4ed4-9dd9-2f8c2bd6418e,OR,Portland3,97201,45.512101,-122.67705
fdd9f2eb-6e9e-4a3f-acb4-6c4c6b3b87df,OR,Portland3,97201,45.505603,-122.688215
bb6270f6-2b12-43e0-b03c-457491392f0c,OR,Portland3,97201,45.505603,-122.688215
516ef783-18e7-4cfc-aa43-3a3e2efa8f5d,OR,Portland1,97209,45.526044,-122.694102
f5fca2f3-62a2-4038-b522-cf47ba3131da,OR,Portland2,97204,0,0
ebf027d8-99bb-447d-8161-3861b944fa91,OR,Portland2,97207,0,0
d049a669-0950-4189-93f2-eb76e91c19de,OR,Portland2,97205,0,0
7da7fa37-e55c-498c-9b0a-3496bfe5bb3e,OR,Portland2,97207,0,0
cafa97ca-9cfb-4478-8c7f-9bac53443d90,OR,Portland3,97201,45.505603,-122.688215
72ca2ee4-10be-4220-9c03-4a70a8670a4f,OR,Portland3,97201,45.512101,-122.67705
19c7df9d-67ba-43fe-a0b0-064d0430e733,OR,Portland2,97201,0,0
29d8ddde-ec19-4685-9c6a-54ea48709feb,OR,Portland3,97201,45.512101,-122.67705
58318eea-7e87-49b6-a630-4383fd88b23c,OR,Portland1,97204,45.507072,-122.621401
30072d20-ef5c-4387-93e1-335cdd3ede67,OR,Portland1,97207,45.567721,-122.684054
185ea9cc-55a2-4041-ad1d-cc285c3b4abf,OR,Portland3,97201,45.505603,-122.688215
db3da84c-8277-45f0-8682-4907e8ac89b8,OR,Portland3,97201,45.512101,-122.67705
8e16ca05-7582-43c8-82d6-b3ca597bc307,OR,Portland2,97209,0,0
53d5c592-f682-41d3-9a4a-10895924a63f,OR,Portland3,97201,45.512101,-122.67705
900b2109-bd86-4dcb-8d7f-7d5fcdcb0704,OR,Portland2,97205,0,0
75c6094d-9d5d-497e-800d-9da1b309539e,OR,Portland1,97203,45.584881,-122.718107
087b651d-5e88-4a0f-90f1-f5453fd04e77,OR,Portland2,97202,0,0
044786e6-6213-4f9e-a89f-41694f8355d7,OR,Portland3,97201,45.512101,-122.67705
7a9b5509-007a-4383-84f8-ee866a0437a4,OR,Portland3,97201,45.512101,-122.67705
7d8a3904-6914-4a81-91a0-7c92208c296e,OR,Portland2,97206,0,0
ca7efd4d-33c1-4242-ba1c-c86aa96a7a84,OR,Portland3,97201,45.512101,-122.67705
e679dec9-5527-4de3-8ac6-6f4deb730a24,OR,Portland3,97201,45.512101,-122.67705
8bff8e7b-cc8c-452b-bd51-8b3e91168f6b,OR,Portland3,97201,45.512101,-122.67705
e7ccef5b-a14c-4288-89cc-f3848dd82d24,OR,Portland3,97201,45.512101,-122.67705
737c36dc-998e-4080-9af0-aefdd13765f0,OR,Portland3,97201,45.512101,-122.67705
5164fa11-7ca4-4f0b-864d-dcbe69b68187,OR,Portland3,97201,45.512101,-122.67705
523babf3-50b2-438e-bd61-d81d54ccb989,OR,Portland2,97206,0,0
e8cbe0bf-4362-4dfb-8fbd-4560a325ae3f,OR,Portland2,97206,0,0
b962863e-bf36-42a2-936b-2912ec99156a,OR,Portland1,97209,45.447357,-122.712834
5308df7c-521c-458e-80d5-559c4765b3b7,OR,Portland3,97201,45.512101,-122.67705
d5e92e75-b4da-467a-b8d6-e5adfda0f6d9,OR,Portland3,97201,45.512101,-122.67705
268744a5-2aec-4451-b0dd-4f3073e153cc,OR,Portland2,97206,0,0
43662e6c-bc86-4e5f-9187-18cea5132d4f,OR,Portland3,97201,45.512101,-122.67705
e2fd1736-738a-4cdc-a1b5-5bdb93d75ba4,OR,Portland2,97203,0,0
0f427675-e27a-4834-bb9e-eddc623d331a,OR,Portland2,97210,0,0
1120d320-d4a2-4508-9ffc-46ffc980b8be,OR,Portland2,97206,0,0
8f652fb2-3eb7-4fa4-8128-18215cd6eda4,OR,Portland1,97202,45.499689,-122.656794
c115b78c-3bbe-400d-81cb-179085384805,OR,Portland2,97202,0,0
37202d3e-f3ad-4c76-a1a6-8f3de9d45577,OR,Portland2,97209,0,0
428dd31a-6b94-4f06-85a9-ec5a88877fbf,OR,Portland2,97206,0,0
a9b1ca08-c117-4f66-9d24-9ed24c9abcec,OR,Portland2,97204,0,0
a7c9bcb1-d8bb-4627-afe2-3bea541dbd50,OR,Portland1,97203,45.510258,-122.534464
abd7dc00-a42e-4ac9-8f94-7fc4a7443b1f,OR,Portland3,97201,45.512101,-122.67705
f932a6bc-719a-4d0c-bf29-abcde1ac8bee,OR,Portland3,97201,45.512101,-122.67705
199a232e-56ea-4938-a024-ed1a691a8a2d,OR,Portland3,97201,45.512101,-122.67705
feb4a4c3-8397-4266-b37a-0319db7535ac,OR,Portland3,97201,45.512101,-122.67705
e7c54543-3249-4ae6-a40b-26b92731cc81,OR,Portland3,97201,45.512101,-122.67705
a024498e-433a-42d9-9971-6241568ab565,OR,Portland3,97201,45.512101,-122.67705
db0fdcfc-3e2b-4a9c-bc99-745d04ea8db6,OR,Portland2,97205,0,0
c8785312-b044-452d-8be2-516c6ce30c62,OR,Portland3,97201,45.512101,-122.67705
f6d4cd14-bd06-4603-b39e-a9580e334095,OR,Portland2,97209,0,0
a446686f-cfb8-45c5-8d5a-4d1e9df368ae,OR,Portland2,97207,0,0
6b638e57-576c-43f0-9250-48861b3bfad9,OR,Portland2,97209,0,0
1479e653-1817-466c-b90a-db26b5bc8c94,OR,Portland2,97206,0,0
2dfdb0a3-0bc5-4e51-8196-06c623e44361,OR,Portland2,97206,0,0
eee8270e-1003-434c-bf17-555e4a9ea0ca,OR,Portland2,97206,0,0
227651a8-24d2-4147-8c2e-0241567017ae,OR,Portland3,97201,45.512101,-122.67705
9a6b8c52-b6b1-4d6a-96a0-f4dfe72d43b4,OR,Portland3,97201,45.512101,-122.67705
6e759f6b-6b0c-409a-89b0-05afa242562c,OR,Portland3,97201,45.512101,-122.67705
2bae6e6f-3fa9-4233-8792-5e2d34012beb,OR,Portland2,97209,0,0
10c16806-7fa6-4721-8bea-cf1e4922234a,OR,Portland3,97201,45.512101,-122.67705
ea585661-5764-450a-8dcc-e079bd53be85,OR,Portland3,97201,45.512101,-122.67705
68bf7053-4ebd-45fa-96b7-8ad8488494f9,OR,Portland3,97201,45.512101,-122.67705
1a5389fc-a1b1-4de2-9df0-61092b0f18f1,OR,Portland2,97210,0,0
42dfe9d7-e8eb-45e6-a8f0-a75be9fb9312,OR,Portland3,97201,45.505603,-122.688215
23bce42b-69a9-4e59-b3e8-2e7cc8da0a03,OR,Portland3,97201,45.512101,-122.67705
1212ef46-3c04-4ad7-92db-859f3d7d12ee,OR,Portland3,97201,45.512101,-122.67705
473498e1-b954-4960-958a-dbb86d4d1754,OR,Portland2,97209,0,0
fec7341f-765a-42ad-8a74-4f02b6da9438,OR,Portland3,97201,45.512101,-122.67705
169ef697-ef5e-4da4-b7fd-486022eeaded,OR,Portland3,97201,45.512101,-122.67705
0bf8bf0c-1cb3-49fd-9569-cf58d4250130,OR,Portland3,97201,45.512101,-122.67705
84341518-a4f8-4fbb-a80e-78be1180479a,OR,Portland2,97206,0,0
0e6db583-fb43-41f5-9d93-11a4293d3423,OR,Portland3,97201,45.505603,-122.688215
4c34f64a-4e67-489d-a1d9-bdccb1a624a3,OR,Portland3,97201,45.512101,-122.67705
32556d27-d578-47ef-b743-d1de6b87ddf7,OR,Portland3,97201,45.512101,-122.67705
31ef9a5a-ee6b-4de0-8dd5-a3141810c137,OR,Portland3,97201,45.505603,-122.688215
030b5aca-506d-4974-b4f5-76f1c52fc8d2,OR,Portland3,97201,45.512101,-122.67705
4d6708c6-b018-4e90-86d7-06f7805ca383,OR,Portland3,97201,45.512101,-122.67705
7d209df7-a773-4368-b616-666f2b837c03,OR,Portland3,97201,45.512101,-122.67705
6668b68e-d59b-4e9d-b1b8-fb045a5ce145,OR,Portland3,97201,45.512101,-122.67705
e243b807-4d77-466a-be69-99925b80eb63,OR,Portland3,97201,45.512101,-122.67705
52112c65-d214-4cfc-9f9d-73fbc352d49a,OR,Portland3,97201,45.505603,-122.688215
b0441934-71e6-4e6b-8a5e-ac22494dce2b,OR,Portland3,97201,45.512101,-122.67705
af18a01d-d19f-469f-8993-58f2e04504f8,OR,Portland3,97201,45.512101,-122.67705
72940f97-03fd-4e27-9e85-8090a395e220,OR,Portland2,97201,0,0
3f048651-d0b7-44a5-8cb3-dd948d3fbdb6,OR,Portland3,97201,45.512101,-122.67705
df09ca56-076e-4a30-8f18-53dc9b596fae,OR,Portland3,97201,45.512101,-122.67705
8911f772-0b54-471e-acfa-e77759164ab6,OR,Portland3,97201,45.512101,-122.67705
e4ff9bb1-2731-4afc-a303-665984444495,OR,Portland3,97201,45.512101,-122.67705
5c8a5416-7e85-4cba-a004-b2e2b78ac5f6,OR,Portland3,97201,45.512101,-122.67705
143b73b6-b2ca-4288-ab9d-82576a633b5b,OR,Portland3,97201,45.512101,-122.67705
1468dd9c-e2c5-4b06-a3f2-b6d9e641e93d,OR,Portland3,97201,45.512101,-122.67705
98e76a2f-bff4-4aea-bcab-d75824779036,OR,Portland3,97201,45.512101,-122.67705
e1b56f5a-f0b9-4197-ab8e-973b6c444a29,OR,Portland3,97201,45.512101,-122.67705
36565022-df4d-4f3b-a17c-fd14c591299b,OR,Portland3,97201,45.505603,-122.688215
69e86ebe-b3c7-40b7-a025-b462af963a61,OR,Portland2,97203,0,0
ff696fb3-6eb7-4d21-b545-a120fa7dfbff,OR,Portland3,97201,45.512101,-122.67705
1b3a7b9a-faeb-456c-a4fc-b2c0264287dd,OR,Portland3,97201,45.512101,-122.67705
50b31220-10c3-4ecd-9036-01f88be57df3,OR,Portland3,97201,45.512101,-122.67705
c2f3df54-ef1d-4a4f-8da3-fb60e58dc27e,OR,Portland3,97201,45.512101,-122.67705
7a9a31ce-c435-46dc-a3dc-5c57dad92729,OR,Portland2,97209,0,0
9d4b725a-f1a9-4f12-bb9d-cc6c7df50b83,OR,Portland3,97201,45.512101,-122.67705
59a30486-a5f2-4f84-8b50-d737929757d2,OR,Portland3,97201,45.505603,-122.688215
6858b5dd-dc85-4afc-8f9e-e63e98160c95,OR,Portland3,97201,45.512101,-122.67705
600bd7d6-77b3-44da-9391-140848141258,OR,Portland3,97201,45.512101,-122.67705
daf1d7cd-15f7-42ad-875b-1ba7f4e72a32,OR,Portland3,97201,45.505603,-122.688215
39ef0b26-a3ca-4d06-89ea-6b24c68d6b0d,OR,Portland3,97201,45.512101,-122.67705
ada40f95-30cd-435b-af54-c54f9e4e655c,OR,Portland3,97201,45.505603,-122.688215
26168a16-c470-4e03-aac5-5804a8e0f063,OR,Portland3,97201,45.512101,-122.67705
eaeb1f58-9a51-4054-86b2-21b6f2e9ae51,OR,Portland3,97201,45.505603,-122.688215
f35a031f-dd44-4ab6-8912-e57b462fa8b9,OR,Portland3,97201,45.512101,-122.67705
f9517071-0734-42db-822b-4c15ead0b9bf,OR,Portland3,97201,45.512101,-122.67705
532a2066-b86d-4242-b5df-c8168a75cc71,OR,Portland3,97201,45.512101,-122.67705
ccd5ae9f-65ed-47ac-8851-33a9f644ed5f,OR,Portland3,97201,45.512101,-122.67705
6d795610-d791-4660-ae1f-03f0432e6ec4,OR,Portland3,97201,45.505603,-122.688215
3a532a20-0418-4a5b-a869-5b35781c86e4,OR,Portland3,97201,45.512101,-122.67705
745dec13-cead-4e78-ac3e-8331d76a55e5,OR,Portland3,97201,45.512101,-122.67705
703247bc-17f5-43d2-8457-614ba678b7cb,OR,Portland3,97201,45.512101,-122.67705
4f3fd65e-0acb-4ce0-a30f-46e41ead0d0c,OR,Portland3,97201,45.512101,-122.67705
9930d183-6d03-438e-b875-0a936466aa49,OR,Portland3,97201,45.512101,-122.67705
800848b0-bcda-4455-ae3d-5e140ae3219f,OR,Portland2,97205,0,0
566b3dbe-7ff1-4174-af4f-e614976cab35,OR,Portland2,97207,0,0
b90222b1-4591-4f57-9bd4-bfc401f8d416,OR,Portland3,97201,45.512101,-122.67705
7f0aa497-8827-470d-904d-96178d4ec3ff,OR,Portland3,97201,45.512101,-122.67705
e07f33b3-bea8-4c59-960d-70c8b242de9f,OR,Portland3,97201,45.505603,-122.688215
e8efd763-ce20-4bef-a75e-74e9ff83e3cd,OR,Portland2,97209,0,0
ff094619-cb3b-4a35-88ea-7fa4356894d8,OR,Portland3,97201,45.512101,-122.67705
a1d199ed-6eb1-4a34-86c2-f8f9ae691885,OR,Portland3,97201,45.512101,-122.67705
ded878db-6bf4-42db-a5dd-899fb595cfe9,OR,Portland3,97201,45.512101,-122.67705
ea9fba41-a197-4bf8-afe1-0d627636bcef,OR,Portland3,97201,45.512101,-122.67705
38112d60-42ac-4f7d-8c67-b2624a4437df,OR,Portland3,97201,45.512101,-122.67705
baca0e3f-51f4-4c2e-ac0e-3d122861b0c4,OR,Portland3,97201,45.512101,-122.67705
be2e5459-81e6-4266-8152-d07c0394d47a,OR,Portland3,97201,45.512101,-122.67705
e623a3c1-7356-4864-8b6e-c6337590f32c,OR,Portland3,97201,45.512101,-122.67705
79951ec2-366e-4954-a1c6-dd1ec71018d4,OR,Portland3,97201,45.512101,-122.67705
5e7e4728-a5c3-41bd-ad3b-f0ceb45baf8a,OR,Portland3,97201,45.512101,-122.67705
7db8a9b4-9a82-4372-97f6-48c78838b84a,OR,Portland3,97201,45.512101,-122.67705
6921e84d-7ee9-49e2-9533-07f18344dddc,OR,Portland2,97201,0,0
6ea39104-4a48-4090-b443-25c2ff21e62e,OR,Portland3,97201,45.512101,-122.67705
02981002-de0f-4c1e-927c-f495ff12b0d3,OR,Portland3,97201,45.505603,-122.688215
a804c243-b23e-4788-a59b-476694476663,OR,Portland3,97201,45.512101,-122.67705
dee2cd74-958d-4a64-a350-3a91eb2ca85d,OR,Portland3,97201,45.512101,-122.67705
7ee26475-9dc6-477e-89b5-dd9b91dab900,OR,Portland3,97201,45.512101,-122.67705
7792a407-549b-46e3-81ea-6e2c91a6912c,OR,Portland3,97201,45.512101,-122.67705
73d77683-51ef-4b6b-82c4-379fe7c4c072,OR,Portland2,97206,0,0
ee66c7ab-477c-4c5e-80c6-f0ee15000a55,OR,Portland2,97203,0,0
bdf0c892-cb90-460c-b953-8e5b0a166086,OR,Portland3,97201,45.505603,-122.688215
d9905d66-bd70-4d8d-9dfa-6c29082f9bbb,OR,Portland2,97206,0,0
3c1e959a-4d1e-47d8-9e72-d020d7ea557b,OR,Portland3,97201,45.512101,-122.67705
26572c0d-9db0-4385-9da7-616001532b59,OR,Portland3,97201,45.512101,-122.67705
4e68bcff-39a6-4619-9877-ef1583221e5b,OR,Portland3,97201,45.512101,-122.67705
66fc3a7a-cdca-4759-bd4a-b2cf51a6992b,OR,Portland3,97201,45.512101,-122.67705
c692a1d4-1075-4eb5-915e-28b537e14311,OR,Portland3,97201,45.512101,-122.67705
36481789-b6ed-4f04-b786-a151dd2aa1d0,OR,Portland3,97201,45.512101,-122.67705
e988d5b1-73ed-450c-abf6-73d0bd6c1d6f,OR,Portland3,97201,45.512101,-122.67705
7c3c097c-77e7-4a90-984b-5efa0f85b0e0,OR,Portland2,97207,0,0
52771506-fb60-4618-abb9-b449181c41a4,OR,Portland3,97201,45.512101,-122.67705
5cbdeb22-7f0f-429c-b6fc-95ca5eac5203,OR,Portland3,97201,45.512101,-122.67705
95df5705-18a8-479a-a716-1a8ac3f52ff6,OR,Portland3,97201,45.512101,-122.67705
6ca013ca-00f7-4111-8646-aac277aa005f,OR,Portland3,97201,45.505603,-122.688215
f98185c0-04fb-4cca-b09a-cbbfe94ae302,OR,Portland3,97201,45.512101,-122.67705
05b05857-8bac-459c-a96e-78f012539019,OR,Portland2,97203,0,0
f3732275-3645-4d17-803d-65fca53390d1,OR,Portland3,97201,45.512101,-122.67705
2c50f91a-cb47-4020-9b8d-59dee9612c11,OR,Portland2,97202,0,0
949d9b66-0f1c-432f-b1d5-6582b51fb1c1,OR,Portland2,97202,0,0
995463e0-6435-4323-999d-68a6d19a9c18,OR,Portland1,97206,45.461216,-122.601129
1d98d551-5705-47f4-b133-3a2b5e43c0c6,OR,Portland3,97201,45.512101,-122.67705
cf57622f-470d-46d3-ade5-89d138c754a8,OR,Portland3,97201,45.505603,-122.688215
56de3ed3-7c59-43ff-b858-71052f6bd048,OR,Portland2,97209,0,0
a56e5c85-f1fe-4925-bf42-28f4b4902f90,OR,Portland3,97201,45.512101,-122.67705
e2170c97-3c96-40ae-9fcb-b1f977a46424,OR,Portland3,97201,45.512101,-122.67705
8d99e4c7-709c-4a54-9d49-a3deaf08d78b,OR,Portland2,97206,0,0
0982ed68-08b5-4893-8047-facb25df503e,OR,Portland2,97205,0,0
1a98902e-8ab7-4d26-a4c1-d4eb8f4166be,OR,Portland1,97203,45.529939,-122.601255
26b47da5-1bcd-4716-8494-8a49fb2fd39a,OR,Portland3,97201,45.512101,-122.67705
